sample_id,inputpfda_kernel_pixel_temporal,inputpfda_kernel_balanced,inputpfda_kernel_coarse_temporal,inputpfdb_kernel_pixel_temporal,inputpfdb_kernel_balanced,inputpfdb_kernel_coarse_temporal,output_full_kernel_pixel_temporal,output_full_kernel_balanced,output_full_kernel_coarse_temporal,output_full_old_kernel_pixel_temporal,output_full_old_kernel_balanced,output_full_old_kernel_coarse_temporal,output_nolight_kernel_pixel_temporal,output_nolight_kernel_balanced,output_nolight_kernel_coarse_temporal,output_physics_kernel_pixel_temporal,output_physics_kernel_balanced,output_physics_kernel_coarse_temporal,output_physics_noRandom_method_kernel_pixel_temporal,output_physics_noRandom_method_kernel_balanced,output_physics_noRandom_method_kernel_coarse_temporal,output_physics_noRandom_noTen_method_kernel_pixel_temporal,output_physics_noRandom_noTen_method_kernel_balanced,output_physics_noRandom_noTen_method_kernel_coarse_temporal,output_simple_kernel_pixel_temporal,output_simple_kernel_balanced,output_simple_kernel_coarse_temporal,output_simple_old_kernel_pixel_temporal,output_simple_old_kernel_balanced,output_simple_old_kernel_coarse_temporal,output_simple_timeRandom_method_kernel_pixel_temporal,output_simple_timeRandom_method_kernel_balanced,output_simple_timeRandom_method_kernel_coarse_temporal,outputbaseline_kernel_pixel_temporal,outputbaseline_kernel_balanced,outputbaseline_kernel_coarse_temporal,input_kernel_pixel_temporal,input_kernel_balanced,input_kernel_coarse_temporal,inputefr_kernel_pixel_temporal,inputefr_kernel_balanced,inputefr_kernel_coarse_temporal
defocus_128ms_sample4,0.028205890747894483,0.07840096481064543,0.20415839667930563,5.078078555151041,9.562090591682157,10.81361434192277,12.54359153257277,12.564697584206863,14.332839466320403,20.357920727043336,20.36140446486867,23.049461781348036,8.247147934491109,22.718735885855846,39.62291173710152,5.282237526109954,5.356245798895613,6.287098297390588,1.0488740576843056,3.904602115818634,6.075651269850587,4.594386352663147,4.723474969039698,5.707073640997783,7.036464258738003,17.23342830234496,27.498305216937506,9.570968079214587,9.586501915253598,10.894120949322406,3.095253065727222,15.106960548262478,26.737195037775148,4.739014004381402,4.744275132079639,5.383334212245253,0.020351475844221777,0.07158342043016783,0.1986828887712105,0.21269250941092577,19.909884524069,34.07090860478915
defocus_189ms_sample5,0.02271925965960739,0.07113632207389882,0.1897909134665141,8.8307396422688,10.125550142779764,11.451162735742049,1.2482958290858222,1.632259103907705,2.7091093710494847,5.892440494226338,6.294586906404833,7.635605538170973,5.456366239850774,20.428214403997636,41.16052253796108,5.790309393346034,6.316597152291551,7.773716712043132,1.9105253553752006,2.192341208449487,3.1174404505753674,1.7359004121858894,2.305514334252008,3.5679031489480284,2.7927088635067934,3.356746484445042,4.756037609782347,2.6010132790779394,2.8058456545765247,3.6160953978251293,2.6505837235870975,4.1667826674304145,5.812888353528508,4.415724526841359,4.420968174173982,5.017077063296067,0.019369848593612855,0.06774896967172776,0.18663176626389452,0.20477159413627397,19.64288005303595,35.4038312786731
defocus_227ms_sample6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
defocus_25ms_sample1,0.01858427686475432,0.061955977043267385,0.17072959550297848,5.042390247073137,8.38064128033369,9.476888444551687,7.751947994369886,8.146518875398348,9.299663124490076,17.501198807802734,17.798300952676243,20.204035623667373,4.001375574134591,14.378184417620531,33.87631479159792,6.926223341241419,8.2214073378452,9.417197427463659,6.094689728476815,6.957146513960472,8.422938683094651,2.196901367191062,2.2993844447300638,2.8848909337957824,15.107635306976372,15.099260304171228,17.11350016736547,9.663430404511088,15.825949930976805,21.97502568074292,5.03710290229316,6.044359462145424,7.347731809481181,4.102056642187672,4.106802009481467,4.6604591959596195,0.01800921387110447,0.06079978230878131,0.16818058389327697,0.17770821055272173,19.019555387727657,33.7106696085165
defocus_275ms_sample7,0.019039952921404237,0.060368217281236876,0.16414089575711105,2.7914930064277312,8.176663583332966,9.247385180592389,6.531436704024116,6.5500347505294485,7.5090808391674635,16.352464639414386,16.317022921164014,18.519214017748926,3.4682251437404448,11.972608574754616,30.17915245044904,7.008900852399006,8.349041870948893,9.512121871845105,7.568030197362225,7.651257184723208,8.712284213090745,2.827849401015126,2.909728167742405,3.5054800164045914,17.750565130176877,17.90541781219972,20.297764745468676,11.10346296329929,21.266539541616414,25.765218832590392,4.854494328501176,6.2069818783278,7.574642690277321,3.97828629704867,3.9830241108327846,4.52099687398286,0.018324201012134743,0.05925711247474362,0.16193381094575907,0.08377067923993232,16.31747143295131,32.82869126788079
defocus_283ms_sample8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
defocus_336ms_sample9,0.02438227548461952,0.08004037546926335,0.21890630675431422,0.46507032085009875,9.250077741440236,10.458565982281222,2.9396029483921464,3.04128444695274,3.7014999351142626,20.29569593589442,20.936418630737265,23.711068453158347,4.966972419556575,17.768118680856,36.975523273449966,5.195032523386705,5.336884664963809,6.378241453044475,4.824459948059911,5.0326512131484265,6.201190488089206,1.2608861261175148,1.4772867080488195,2.171957730982736,2.725393062404914,3.1259671511533655,4.123193759430169,2.6474811081997505,2.872562481362741,3.735358512690502,4.1140590055539885,4.31551167903808,5.314182240802863,4.907513568304222,4.914497080977296,5.578089709044622,0.02322422368412175,0.07800930698635117,0.2147733031429502,0.15800398489625384,23.080349721144994,34.21055477124391
defocus_361ms_sample10,0.028522757416439014,0.09516365099431436,0.23481354780214747,8.730041633541093,9.079049814133928,10.270459879254268,2.201904454238338,2.6228325535205177,3.871162234345026,11.384381546009509,11.805992089162542,13.590100130954964,6.952499678138833,20.86467750461874,41.6213469567202,4.695088558263231,4.7810185890001415,5.626897849845952,3.353664174330757,3.574282937063723,4.487813169789397,0.7292948463476268,1.138975667895005,2.0755811017379475,0.512294986516564,0.8886357441379545,1.765476108333041,2.5582968788604665,2.741122401167848,3.4330815437771407,1.984092748894624,2.242928649939223,3.011983746284825,5.755047394692562,5.761768645414138,6.536624245211363,0.02687111535065968,0.09211310796126634,0.22855165084646267,0.14208870569912693,21.20002543430496,37.83447039056889
defocus_41ms_sample2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
defocus_91ms_sample3,0.030093885884544095,0.08161737758339502,0.22528308890979598,10.293302776156953,10.7060998579468,12.109310446112755,2.0033499323337547,2.500836264386305,3.0687853780524312,16.191123464582216,16.423268918602528,18.61928088648758,7.756783242147143,19.70252191344811,35.96661944293908,9.75287780597047,10.68918656392232,12.40003844505522,2.4821652090814763,2.6143783161193497,3.315534848207069,1.715917392918901,1.876524837927514,2.580120430684644,0.6251236265233754,0.9253208483505826,1.8318998474984671,9.561633999839843,9.570828632408995,10.923053463407001,4.536198965779187,4.6500329225758525,5.546322966441089,5.995465096572219,5.999619764098728,6.80677359076445,0.028571113727212466,0.07937824320112542,0.22067315505485616,0.1690019667009109,21.1978271146362,40.16450015535013
