sample_id,input_chamfer_distance,input_gaussian_distance,input_pmse_2,input_pmse_4,input_rf1,input_tf1,input_tpf1,inputefr_chamfer_distance,inputefr_gaussian_distance,inputefr_pmse_2,inputefr_pmse_4,inputefr_rf1,inputefr_tf1,inputefr_tpf1,inputpfda_chamfer_distance,inputpfda_gaussian_distance,inputpfda_pmse_2,inputpfda_pmse_4,inputpfda_rf1,inputpfda_tf1,inputpfda_tpf1,inputpfdb_chamfer_distance,inputpfdb_gaussian_distance,inputpfdb_pmse_2,inputpfdb_pmse_4,inputpfdb_rf1,inputpfdb_tf1,inputpfdb_tpf1,output_full_chamfer_distance,output_full_gaussian_distance,output_full_pmse_2,output_full_pmse_4,output_full_rf1,output_full_tf1,output_full_tpf1,output_full_old_chamfer_distance,output_full_old_gaussian_distance,output_full_old_pmse_2,output_full_old_pmse_4,output_full_old_rf1,output_full_old_tf1,output_full_old_tpf1,output_simple_chamfer_distance,output_simple_gaussian_distance,output_simple_pmse_2,output_simple_pmse_4,output_simple_rf1,output_simple_tf1,output_simple_tpf1,output_simple_old_chamfer_distance,output_simple_old_gaussian_distance,output_simple_old_pmse_2,output_simple_old_pmse_4,output_simple_old_rf1,output_simple_old_tf1,output_simple_old_tpf1,outputbaseline_chamfer_distance,outputbaseline_gaussian_distance,outputbaseline_pmse_2,outputbaseline_pmse_4,outputbaseline_rf1,outputbaseline_tf1,outputbaseline_tpf1
composed_00975,1.784033263,0.490647734,0.089947519,0.087184599,0.690219117,0.824596193,0.86252988,1.609864831,0.590458701,0.038494034,0.030014299,0.129989726,0.383667191,0.464154382,1.96992843,0.540958153,0.090993468,0.086974665,0.531577774,0.644616412,0.691096559,0.861860682,0.229058473,0.020469114,0.017749878,0.632246347,0.660030191,0.694408242,0.465832167,0.34080143,0.013359341,0.012471102,0.742085791,0.786318902,0.798116601,0.415879555,0.29889538,0.008710047,0.007874406,0.755843406,0.780914787,0.790203618,0.493891121,0.339832393,0.012239609,0.011044525,0.739522853,0.784090042,0.796235641,0.47084468,0.333388856,0.011574749,0.01049963,0.745280785,0.787355029,0.798473211,1.227900164,0.537491616,0.026947988,0.017182279,0.208615469,0.67093748,0.763698403
composed_00977,0.720467644,0.409622948,0.153059608,0.128167367,0.544243031,0.653807014,0.721753429,0.548936553,0.334683808,0.170078687,0.132499998,0.189751778,0.470790433,0.579938215,0.751969017,0.429131067,0.154420504,0.127515622,0.442020714,0.565272313,0.635037257,0.69471004,0.356305714,0.127752763,0.106475324,0.444961386,0.51269554,0.570686759,0.198950373,0.133314528,0.083382603,0.070425945,0.642727607,0.680170869,0.700247223,0.203399743,0.138776768,0.093256013,0.080496308,0.633885538,0.671483662,0.695208911,0.213850903,0.141086671,0.08253712,0.069749487,0.65152485,0.693160454,0.720062809,0.223368732,0.147468813,0.082794647,0.069906252,0.645857119,0.687900468,0.715442249,0.607104446,0.360644,0.134552335,0.101539637,0.292386136,0.628239882,0.7189706
composed_00978,0.239553742,0.089740416,0.00218327,0.001182067,0.832418754,0.835716464,0.830773869,0.50798392,0.359269407,0.025841547,0.016403084,0.174129078,0.455410617,0.516446759,0.188972743,0.075100066,0.003210441,0.00141804,0.705616296,0.700556887,0.702569195,0.278654602,0.111140129,0.015745002,0.012016199,0.660942129,0.676009204,0.685364022,0.390933429,0.253116816,0.001795595,0.000969401,0.757176807,0.761227874,0.758213742,0.393482824,0.258924984,0.001768095,0.000916089,0.755057374,0.757187799,0.753821737,0.407678129,0.26171947,0.001649314,0.000822548,0.755081137,0.757194057,0.753937312,0.469895753,0.280567532,0.002060928,0.001063845,0.745493679,0.751336754,0.747531673,0.645632019,0.372371236,0.019591471,0.010089401,0.294669995,0.725465651,0.779099369
composed_00982,0.83574612,0.346608855,0.053864076,0.047157925,0.732881801,0.807290275,0.829084338,0.459330217,0.317634136,0.059322217,0.0367916,0.18049798,0.493455265,0.608426376,0.907473926,0.375625558,0.054145286,0.045608008,0.585512461,0.663876747,0.688444963,0.909428194,0.277010919,0.045612395,0.034813048,0.480547716,0.55855141,0.605671113,0.196750437,0.129816122,0.015946418,0.014859022,0.742418867,0.760827527,0.769331026,0.277681302,0.134113572,0.016349241,0.015116588,0.73625916,0.75318532,0.75944974,0.330661839,0.155386951,0.015651474,0.014209584,0.733461886,0.755586073,0.764231948,0.270563623,0.146577916,0.014085854,0.012632444,0.739738693,0.763030032,0.773880135,1.071925128,0.400413593,0.05556245,0.033704206,0.275600232,0.682666172,0.790641549
composed_00983,2.457834595,0.607131131,0.503174297,0.45795517,0.553286587,0.659675391,0.709600259,0.751272971,0.422443622,0.187824171,0.175961751,0.197473034,0.428632092,0.514300012,2.373460699,0.596865809,0.582610404,0.532850907,0.485486699,0.579347168,0.619231314,3.592694108,0.722922464,0.231331216,0.212013245,0.328710731,0.408894575,0.470726036,0.83442394,0.439370554,0.095294461,0.092073343,0.562175618,0.660416942,0.697221362,1.19434099,0.491716049,0.10143675,0.09823238,0.556405108,0.660169106,0.703758471,1.29300627,0.500262242,0.09887201,0.09532726,0.545565204,0.65051577,0.698667946,1.060646243,0.424069831,0.092665838,0.089041769,0.555317638,0.675460861,0.705249087,2.318620982,0.697456915,0.161791067,0.147628665,0.254838572,0.563774181,0.620642166
composed_00986,1.540734027,0.551622696,0.126728948,0.122434857,0.604038719,0.717587082,0.764716479,1.168744444,0.490563536,0.090832584,0.068931444,0.165723388,0.425341403,0.491048759,1.635870336,0.587118613,0.128445748,0.12241023,0.507527938,0.619846029,0.668357933,0.95916504,0.281003165,0.048636322,0.04118368,0.535671662,0.575224669,0.624630273,0.285545603,0.193924829,0.025240284,0.024136104,0.74149085,0.783787168,0.79268179,0.320888094,0.190443736,0.024124086,0.0230384,0.73907576,0.778119847,0.788566458,0.319347435,0.20252059,0.024235323,0.02301819,0.740585737,0.78534938,0.797429304,0.285401249,0.188004619,0.021987771,0.020930877,0.746955072,0.780107351,0.792193925,0.995546172,0.434385921,0.061674204,0.04019588,0.29923073,0.701082423,0.770023508
composed_00988,2.127733971,0.770801901,0.079516857,0.064120696,0.414769814,0.452392008,0.469474575,2.283916028,0.803207515,0.05384514,0.037777087,0.10673299,0.278510886,0.32302389,2.187412735,0.787735512,0.087852266,0.070118105,0.350141699,0.392791385,0.418469582,2.20020571,0.764402506,0.048794657,0.037823898,0.332736297,0.372843624,0.39512933,1.18147289,0.557844385,0.016004054,0.01277288,0.478218075,0.545485226,0.569544524,0.681614831,0.35666424,0.006732576,0.005296815,0.526880222,0.560777685,0.570303916,1.078755316,0.503363283,0.010248507,0.007822552,0.50862865,0.563183578,0.587231871,0.822831396,0.422948126,0.007107298,0.0055851,0.523826023,0.580411935,0.596468536,2.206464618,0.810159554,0.053454296,0.039351524,0.174492858,0.412758752,0.444389395
composed_00989,1.136345073,0.648857216,0.957395194,0.947269946,0.540643094,0.714412176,0.79241478,1.089467119,0.651719287,0.421622625,0.394262509,0.132424213,0.374051626,0.476497337,1.160564321,0.66291013,1.148066807,1.134273908,0.43200064,0.614590323,0.711322285,0.821802141,0.443292668,0.138556956,0.130710559,0.586221107,0.647396689,0.69717753,0.518444062,0.347056711,0.022337859,0.020225727,0.671375309,0.727903674,0.740981672,0.500336681,0.350648293,0.023395454,0.021077775,0.649749544,0.713193535,0.730005007,0.560916121,0.371624946,0.023288243,0.020949755,0.654635894,0.7215409,0.739456301,0.508860446,0.349330593,0.02358345,0.021416103,0.659611423,0.719518079,0.734796117,1.066289975,0.637170068,0.135294969,0.113547467,0.191796759,0.62677714,0.726021588
composed_00991,0.922946064,0.544175881,0.269154751,0.234809216,0.552964061,0.636918467,0.703007942,0.618367909,0.410474365,0.207064617,0.169128928,0.168399486,0.440845637,0.554295749,0.929923866,0.551337494,0.259038563,0.224162668,0.444408311,0.530948788,0.59951953,0.961608946,0.534074894,0.188343591,0.164475041,0.374841604,0.452934368,0.521619023,0.226139982,0.144847951,0.070422142,0.059654495,0.651077415,0.677081976,0.700124767,0.259940316,0.168470978,0.10261796,0.091052526,0.623258043,0.653413331,0.680371426,0.282804772,0.173376212,0.076942077,0.065994455,0.648634077,0.678926335,0.706732048,0.282788909,0.175980564,0.077150752,0.066285715,0.644241454,0.677309518,0.70494589,0.744149261,0.44840141,0.154873331,0.122354513,0.276979431,0.61891125,0.718327443
composed_00994,0.943936412,0.553486968,0.082344614,0.075813726,0.43729233,0.561157237,0.652680649,0.92763878,0.568753222,0.057888679,0.045926365,0.135479871,0.348467838,0.444515883,0.973118016,0.578042959,0.081388949,0.074000382,0.33416288,0.451067199,0.547519394,0.959481508,0.493693153,0.045861409,0.039468833,0.400337515,0.459281602,0.518924469,0.365804999,0.276841069,0.026137492,0.023669272,0.608159416,0.661231664,0.678072113,0.331644933,0.248781452,0.026043981,0.023610948,0.613362242,0.644606556,0.653889727,0.374302962,0.28075469,0.02381329,0.021449729,0.627685438,0.681729238,0.698258567,0.408329628,0.307104947,0.025417514,0.022971098,0.610094662,0.669993298,0.689827735,0.913897246,0.55689078,0.048113393,0.034721509,0.199335324,0.507713239,0.610421028
composed_00995,1.276808948,0.588153271,0.726664539,0.590225217,0.435877533,0.601538234,0.663603684,1.069343589,0.528665294,0.257748222,0.203531813,0.125807969,0.366334578,0.476754079,1.273427301,0.588307736,0.717041096,0.582558872,0.315556939,0.473192638,0.5382461,1.451278479,0.633769744,0.131635911,0.106365888,0.277018111,0.348452311,0.404379568,0.617699282,0.335976072,0.079455245,0.065950725,0.464429921,0.590524406,0.616281719,0.669836644,0.401185471,0.080706761,0.06818396,0.420792253,0.534856367,0.588239323,0.986196745,0.459818537,0.085886679,0.069487403,0.427341264,0.563285003,0.609031644,1.236238072,0.506785549,0.091811209,0.07332285,0.400716791,0.538708624,0.599173849,1.211680582,0.574518231,0.153517936,0.117476063,0.214019813,0.543356243,0.636428597
composed_00996,0.245496447,0.140431525,0.009195116,0.006246554,0.762805086,0.777931478,0.773193497,0.438686071,0.320796556,0.03671285,0.018331998,0.188094197,0.478256369,0.54684945,0.240622539,0.140156015,0.011168162,0.006617355,0.656382121,0.688893769,0.691152663,0.276303753,0.16148333,0.017528509,0.010534009,0.612183849,0.657435223,0.673111369,0.265977669,0.193508118,0.006195569,0.004377096,0.718180706,0.744807987,0.74461068,0.279785269,0.202701326,0.006745843,0.004727991,0.710724241,0.734004614,0.733620357,0.276465878,0.200217242,0.006096115,0.004288252,0.72000282,0.748373404,0.749046044,0.26713016,0.194439047,0.006135194,0.004378435,0.719486062,0.745457544,0.745460086,0.536925511,0.358124663,0.030146189,0.012569476,0.287828704,0.682133363,0.744260078
composed_00999,1.159315019,0.607871377,0.173520157,0.149337213,0.524905135,0.593243371,0.636265265,1.104275598,0.659807223,0.134846405,0.097643081,0.131919565,0.342972452,0.434579239,1.181853948,0.623885051,0.188058402,0.159613138,0.447301877,0.530621121,0.599923679,1.135090212,0.601750436,0.099291919,0.081701665,0.41059643,0.505071708,0.573649392,0.808393138,0.532908807,0.02865008,0.022681225,0.444376877,0.516722164,0.555196234,0.78656942,0.516970163,0.02827457,0.023095851,0.432493039,0.502160362,0.5369744,0.84434993,0.534518288,0.026984347,0.021135977,0.452397187,0.521443411,0.563399511,0.832144444,0.537111316,0.02746015,0.021970852,0.442909062,0.513149172,0.553029954,1.315412678,0.676122098,0.087907407,0.069373618,0.192807491,0.50853546,0.58569509
AVERAGE,1.2658242318285713,0.49827853702857144,0.30225179608571434,0.283384108,0.5658509133142857,0.6570062117142856,0.7060478146285716,1.0519834493428573,0.5136092466857144,0.14441508239999998,0.11859601519999999,0.1516878819142857,0.40337056414285716,0.49299349371428575,1.3040348393714285,0.5155082505999999,0.33398671462857143,0.31215778757142854,0.46894741734285716,0.5658352035999998,0.6219918498285714,1.1843983759714287,0.44173027214285715,0.10640166491428572,0.09409126945714287,0.46461831997142866,0.5257293755142856,0.5769779862,0.49522447794285723,0.28818732551428566,0.039230460057142855,0.035415678857142856,0.6348537882,0.6871741273714286,0.7051975931714286,0.4761898428,0.28370002745714284,0.042083120857142865,0.03833956517142857,0.6271952233428572,0.6708220533428572,0.6902409198857142,0.5551951672000001,0.30749286028571426,0.04059409562857142,0.036605191,0.6303729540857143,0.686778076,0.7068002465428571,0.5324830715142858,0.2981805396285714,0.03941199331428572,0.03546501957142857,0.6309179369714286,0.6824770178857144,0.7032332544571429,1.2062601364571428,0.5409506959142858,0.10427152188571429,0.0834280703142857,0.23684230205714288,0.5895595873428572,0.6726745997714286
