sample_id,chamfer_distance,gaussian_distance
composed_00504,4.841716065108632,1.7978271584982886
composed_00505,2.8624414424399207,1.467534950577901
composed_00506,6.669177439336547,1.614636295176353
AVERAGE,4.7911116489617,1.6266661347508478
