sample_id,input_chamfer_distance,input_gaussian_distance,input_voxel_mse,input_pmse_2,input_pmse_4,input_rf1,input_tf1,input_tpf1,inputpfda_chamfer_distance,inputpfda_gaussian_distance,inputpfda_voxel_mse,inputpfda_pmse_2,inputpfda_pmse_4,inputpfda_rf1,inputpfda_tf1,inputpfda_tpf1,inputpfdb_chamfer_distance,inputpfdb_gaussian_distance,inputpfdb_voxel_mse,inputpfdb_pmse_2,inputpfdb_pmse_4,inputpfdb_rf1,inputpfdb_tf1,inputpfdb_tpf1,output_full_old_chamfer_distance,output_full_old_gaussian_distance,output_full_old_voxel_mse,output_full_old_pmse_2,output_full_old_pmse_4,output_full_old_rf1,output_full_old_tf1,output_full_old_tpf1,output_physics_noRandom_noTen_method_chamfer_distance,output_physics_noRandom_noTen_method_gaussian_distance,output_physics_noRandom_noTen_method_voxel_mse,output_physics_noRandom_noTen_method_pmse_2,output_physics_noRandom_noTen_method_pmse_4,output_physics_noRandom_noTen_method_rf1,output_physics_noRandom_noTen_method_tf1,output_physics_noRandom_noTen_method_tpf1,output_simple_chamfer_distance,output_simple_gaussian_distance,output_simple_voxel_mse,output_simple_pmse_2,output_simple_pmse_4,output_simple_rf1,output_simple_tf1,output_simple_tpf1,output_simple_old_chamfer_distance,output_simple_old_gaussian_distance,output_simple_old_voxel_mse,output_simple_old_pmse_2,output_simple_old_pmse_4,output_simple_old_rf1,output_simple_old_tf1,output_simple_old_tpf1,outputbaseline_chamfer_distance,outputbaseline_gaussian_distance,outputbaseline_voxel_mse,outputbaseline_pmse_2,outputbaseline_pmse_4,outputbaseline_rf1,outputbaseline_tf1,outputbaseline_tpf1
composed_00986,1.576011329014293,0.560869649951616,0.3805803209543228,0.1524007443338632,0.1469234958291053,0.6395741614355939,0.7775696920986896,0.8325838398099876,1.6727716921148603,0.5961489976587371,0.3978023275732994,0.1540566515177488,0.1465438146144151,0.5544048560986747,0.6896758649400931,0.745201168373747,0.9949416935608218,0.2902542017462901,0.1521134465932846,0.0586426585912704,0.0495016023516654,0.5939911985992845,0.6425760130902194,0.7001057686409966,0.3219321118375027,0.1877233519760729,0.0723926592618227,0.0293774109333753,0.0278473734855651,0.8647207067204864,0.9099809225321884,0.9194626129807932,0.263133974939487,0.1803609319265484,0.0774393700063228,0.0293818663805723,0.027881502173841,0.8735207504861059,0.9144714439726396,0.9226788345636904,0.3197970147901304,0.1997217373992932,0.0788908705115318,0.0295494487509131,0.027835558541119,0.8674768373364493,0.919071802214842,0.930228675905332,0.2843536013392786,0.1847396312745841,0.0677362464368343,0.0268594872206449,0.0253448512405157,0.8757222095326073,0.91376983162506,0.9250687092533332,1.0203639378982716,0.4368725203008015,0.2468868017196655,0.0615170188248157,0.0401603009551763,0.2923631718174782,0.6808945904369355,0.7510727841513809
composed_00988,2.2404480111685308,0.7998101179240708,0.2386139370501041,0.0954773967154324,0.0765528729534708,0.3244010796711511,0.360232824393188,0.3852307925941221,2.2928078158591005,0.8135617582211853,0.2268356077373027,0.0881801145151257,0.0701590880402363,0.2716412819190865,0.3061941064735834,0.333735827468734,2.3214013750990268,0.7950413783513055,0.1357693677768111,0.0490425206720829,0.0378413586644455,0.2543292038161393,0.2884409524240588,0.313561596703734,0.7669866072248762,0.3685447646440599,0.0281364746391773,0.0088108420139178,0.0066456630709581,0.5076020491740993,0.5310175479953785,0.5420891783519569,0.6785698963173535,0.3627219935651295,0.0277930503711104,0.0087998149218037,0.0067294133477844,0.5240131603574654,0.5569975617877752,0.5634618321773768,1.2114836716751467,0.534117726819696,0.0416602373123169,0.0131253355182707,0.0097174302092753,0.4859546556826268,0.5304955882853589,0.558474609728117,0.9236864879409008,0.4441947070444283,0.0307405594736337,0.0092967734904959,0.0069898426998406,0.5012922972593186,0.5496723591874264,0.5699776341647536,2.307946254380244,0.8259529679240618,0.1977853216230869,0.0528828525915741,0.0390528107294812,0.1546303914414058,0.3307822536125662,0.3659522579156206
composed_00989,1.2865166542956594,0.6853353409922798,2.4004136264324187,1.14929840862751,1.136131677031517,0.4635083061500213,0.6750251115942743,0.7682753741222555,1.314226884901373,0.7002256505290392,2.4104372680187227,1.14878571331501,1.1341310501098634,0.3632673683351547,0.5449795380253972,0.6391333773541448,0.8859651207847309,0.4735907238815929,0.3184846982359886,0.1391698572784662,0.130794364772737,0.5245496856770825,0.5854157962803693,0.6328594075006112,0.6153139625313983,0.3742464887674096,0.0788698744028806,0.0292629896663129,0.0257297842763364,0.7181377940320962,0.7960127751206115,0.8121301562962575,0.5741635186502,0.3370275834307479,0.0701598305255174,0.0266729128547012,0.0235238292720168,0.7513853800561849,0.8139722232858002,0.826738956440861,0.6940880860161479,0.4018265344270864,0.0800192885100841,0.0298421127721667,0.0261579152196645,0.7147664133351068,0.7966047885643313,0.8140613792857836,0.674627939400495,0.3821777070669025,0.0797749832272529,0.0302224833518266,0.0267545599490404,0.7224765693187416,0.7969695761873667,0.8103563099201528,1.208924726182532,0.6763701907606737,0.4318047642707824,0.1355972573161125,0.1142471000552177,0.1705714502224289,0.5743247239124532,0.6737134115720652
composed_00991,1.1142089143507592,0.6018270371253331,0.8004412472248077,0.3248254965990781,0.2788081742823124,0.3814339742367713,0.5144956568686639,0.6007355421048154,1.1225260447913636,0.6088055229916454,0.7915144860744476,0.3160747054964304,0.2695384351536631,0.3348160144016319,0.4656863164300427,0.5493097804496908,1.165888011203847,0.6219417580843001,0.5698236420750618,0.234458976238966,0.2031717449426651,0.2814201737964113,0.3990659113181576,0.483374971382699,0.3354125090994374,0.195630319808253,0.3374775350093841,0.1364420983940363,0.1176066301763057,0.476697642533211,0.5530266876786539,0.5957700984130072,0.1894953816622426,0.1173323608836825,0.2224759891629219,0.0786328233778476,0.0612366257235407,0.5438175928853276,0.6003661064918513,0.6236880196181586,0.3819222273530013,0.2100129818804204,0.2827695310115814,0.1056371048092842,0.0872295215725898,0.5151337028642491,0.5866543262396083,0.6342846839995275,0.4101943754282064,0.2204208605919855,0.2787238776683807,0.1031759329140186,0.0849377457052469,0.517973055923658,0.5911383985763506,0.6365144266481373,0.9702461100881332,0.5295850043974922,0.4815074861049652,0.1576610703021287,0.1260603692382574,0.1969135428065679,0.4744562229223288,0.5809205031743264
composed_00994,1.0503391068517378,0.599827326713091,0.264589112997055,0.0993356212973594,0.0904117561876773,0.3444117230399531,0.4965116833705917,0.6170325253788307,1.085920817919139,0.6261844682219763,0.2693192541599273,0.0981002904474735,0.0883070290088653,0.2792435069585925,0.4204127183331085,0.5420892181969459,1.042178421554512,0.5332994471936471,0.1570900052785873,0.0549134936183691,0.0466678064316511,0.3584605442359428,0.4299205870651773,0.5156951814883091,0.3426821084875964,0.2494966370719159,0.0838700346648693,0.0322600197978317,0.0285334141459316,0.6582325079138714,0.6838120676410174,0.7032740180940835,0.5285708681080864,0.3695892718924995,0.0999564610421657,0.0382591461762785,0.0342340922914445,0.5973554039744601,0.6691631757343247,0.7084347867889614,0.4100916657568202,0.2921703581628955,0.0839706219732761,0.0299382222816348,0.0261395490728318,0.6641512650146937,0.7128606517351157,0.7379534344100683,0.4773695749591202,0.3357784971918615,0.0878216959536075,0.0322576193138957,0.0283448668196797,0.6410345596509359,0.7007934162972471,0.7296473976795416,0.99316252834576,0.5872407016165,0.1889025866985321,0.0476776011288166,0.0345317000523209,0.1762080102363979,0.4586572838911256,0.5713943214711714
composed_00995,1.352578255996706,0.616049633648696,2.4198870420455934,0.8748652372509241,0.7109534176066518,0.2653717769724775,0.465399509440909,0.5391348741967426,1.3466761575338864,0.6153495761102271,2.3999586544930933,0.8631489733234048,0.701520389597863,0.2091365370778122,0.3960556810702414,0.4682265970785718,1.616405882553865,0.6899904372189942,0.4221802592277527,0.1581012077629566,0.1275630970485508,0.1933316331117365,0.2698608448184155,0.3330208694060051,0.8326840952103186,0.4664413073186129,0.2539742790162563,0.0980268765240907,0.0819999188184738,0.3450068854195913,0.4853766067440396,0.5551185199251913,0.5622686361401454,0.3345835832983163,0.2832800291478634,0.0978619910776615,0.081058123987168,0.4044216147462393,0.5381163615424238,0.5720947955586546,1.1382011715021958,0.5073831553714019,0.3464523024857044,0.1051906937733292,0.0843205614946782,0.3615475112640145,0.5236880758458063,0.5797912475756177,1.4168916270176537,0.5598228238558252,0.3542822286486625,0.1123275561258196,0.0889381807297468,0.3334914128127543,0.5013292412664352,0.5738528376309422,1.319035208461492,0.6082633941248998,0.5258356109261513,0.152675499767065,0.1175457939505577,0.1709835437029241,0.4270833089534518,0.5182265298398077
composed_00996,0.2729408734017126,0.1533155877408493,0.0488390292972326,0.0123291623778641,0.0078153941314667,0.7545287656046531,0.776355977459569,0.7718179111613315,0.2594668397853001,0.1447232315609835,0.0653839498758316,0.0146399334073066,0.0084147999994456,0.662171568315291,0.7028894220747677,0.7008219876145058,0.3009211971232785,0.1680602021373374,0.084779867529869,0.0215236309915781,0.0126660283654928,0.6021428560253976,0.6572045357586175,0.6726626107217821,0.2815473838147377,0.1976887774806464,0.0383682448416948,0.009545949473977,0.0061748581007123,0.7961140332163009,0.8234653228923637,0.8193879529749566,0.2527821849629121,0.1830565769976309,0.0365129400044679,0.0090577088296413,0.0058937555644661,0.8014718673908107,0.8295574763208577,0.8231363861996496,0.2792358068131035,0.1957180388378555,0.0370241697877645,0.0090217388235032,0.0057792637962847,0.801676495517716,0.8323074305246907,0.8289939936918941,0.2683032365125141,0.1898873138597821,0.0364661451429128,0.0090131223201751,0.0058665516786277,0.8032789024761863,0.8321246543698363,0.8272776648749598,0.5632623412371125,0.3618134035869189,0.1652830392122268,0.0293987426906824,0.0125497743487358,0.2712973144310665,0.6392943303529858,0.7021161695205581
