sample_id,inputefr_chamfer_distance,inputefr_gaussian_distance,inputefr_voxel_mse,inputefr_pmse_2,inputefr_pmse_4,inputefr_rf1,inputefr_tf1,inputefr_tpf1,inputefr_event_count_ratio,inputefr_temporal_overlap
defocus_128ms_sample4,3.6018211262888213,0.9714229018665363,0.47523723393678663,0.21157712042331694,0.20465200766921043,0.014525470301841484,0.03178184448577022,0.03648918269047592,8.569027651999157,0.9810384830786464
defocus_189ms_sample5,3.632423778533606,0.9726180673451333,0.4838317960500717,0.21686382740736007,0.21036061644554138,0.012788723983993533,0.03310575853782969,0.03825403659103478,8.921241457152426,0.9870777238376456
defocus_227ms_sample6,3.790536828685644,0.9954770151241532,0.1996345231309533,0.08884069060441106,0.08599182773614303,0.0006262059995481873,0.004035836624957833,0.00842776474342554,203.04787472035795,0.99401563141093
defocus_25ms_sample1,3.6425087878165723,0.9767564960977637,0.5552433058619499,0.25080660432577134,0.24338466227054595,0.01795369850280711,0.03189916358223777,0.037444384540101995,10.079240304027058,0.996249024746434
defocus_275ms_sample7,3.685884673351495,0.9786939071968087,0.5868815705180168,0.2656840406358242,0.2580344840884209,0.01709719331686287,0.03078110802327168,0.0360928267059537,10.597108372522413,0.9988395590324323
defocus_283ms_sample8,,,,,,,,,,
defocus_336ms_sample9,3.6444866237062064,0.9696084206948852,0.45515273958444596,0.20277011170983314,0.19636318907141687,0.018951853566433825,0.03671299205897004,0.04195805984090481,8.143705481597252,0.9986899606988209
defocus_361ms_sample10,3.6123193798463253,0.9689977381259348,0.3901460081338882,0.17297735810279846,0.16744873002171518,0.020786509368873517,0.0411887819382553,0.046657121097019236,6.66208273399137,0.9959685890061521
defocus_41ms_sample2,,,,,,,,,,
defocus_91ms_sample3,3.599702413690046,0.970270860888713,0.3456908330321312,0.15625645443797112,0.1518939144909382,0.0214789517225246,0.042431663849989545,0.048407818465348716,6.748737225419946,0.9977995599119824
redandfull_randomflare_204ms_sample11,1.0074841866827307,0.5848636102061708,0.2697605013847351,0.10309620201587677,0.0954054832458496,0.11485515978221676,0.25264214076532354,0.3327453894310914,0.6820774132255935,0.9849398493984939
redandfull_randomflare_230ms_sample12,1.0592043572828072,0.6155175053524163,0.3610319018363953,0.13998602330684662,0.13021374195814134,0.11802412644768612,0.24293207358677474,0.3251633290984141,0.7901340772451665,0.9897491799343948
redandfull_randomflare_240ms_sample13,1.211361283619605,0.692328582258763,0.18139232695102692,0.06913670897483826,0.0638938620686531,0.09912025041120698,0.19793328500521798,0.25899548533692185,0.9547648419510263,0.992039920399204
redandfull_randomflare_263ms_sample14,1.0466326778310582,0.6158644612053492,0.34639095067977904,0.1317371815443039,0.12182592749595642,0.10654380197928055,0.25048859634862536,0.33680213056487673,0.7645044593772634,0.993559935599356
