sample_id,inputefr_chamfer_distance,inputefr_gaussian_distance,inputefr_pger,inputefr_voxel_mse,inputefr_pmse_2,inputefr_pmse_4,inputefr_rf1,inputefr_tf1,inputefr_tpf1
composed_00470,0.6148579582215876,0.3998373440850445,0.7729630665292019,0.2640882134437561,0.07329357862472534,0.05128080137073994,0.23926068142917015,0.45477505542808955,0.605050169326352
composed_00471,0.4365613251356182,0.28213575613026814,0.5439933789680509,0.2282922387123108,0.04843384772539139,0.024873532354831696,0.23957580663489417,0.4738576312442202,0.6076613297601163
composed_00472,1.3837355107486595,0.5653001656682086,2.5521852455476965,2.2332422852516176,0.9827220447361469,0.9470009088516236,0.16907757549139432,0.42400833671288485,0.5588181748728767
composed_00474,3.0544643750193066,0.7859438436974694,2.058161627793551,0.5085005685687065,0.2129518087953329,0.19453057330101728,0.09963639739318578,0.27264669722631907,0.3710031773867981
composed_00477,2.5310968203301094,0.7745045823059621,2.5806562132407525,1.2962875992059708,0.5218726828694343,0.4644304633140564,0.08918898335665093,0.24457298464791224,0.3761765650169794
composed_00478,1.0610538154471,0.5117548967253844,0.7465423963940566,0.6512882530689239,0.24896569550037384,0.22425666749477385,0.17935939965672076,0.4117599355211284,0.5345856235239523
composed_00479,1.389243462994377,0.6940604935961648,2.429653190991579,1.0163469336926938,0.4756372685544193,0.4663110165391117,0.09730292287670085,0.2358141881890939,0.3539161347639198
composed_00480,1.0356112113346259,0.5673579440115779,0.9160916935826636,0.4599389672279358,0.1520535856485367,0.1143586790189147,0.10847140946503611,0.279946439361118,0.41905214892614745
composed_00481,0.8138210169407956,0.49425552098324066,1.0556859290685163,0.5539549976587296,0.21142930984497071,0.19323468804359437,0.16467779480142292,0.40800588321688824,0.5605266085258906
composed_00482,2.2555604581271367,0.8104937787597648,3.179820047744888,0.36336540430784225,0.1530071660876274,0.13829203471541404,0.1042387980572961,0.250607810223219,0.32767503609012777
composed_00483,3.890096998573509,0.7234107842581465,1.2991891986678321,0.9018059020861984,0.36485521094873546,0.3461376646766439,0.15753863909666604,0.38763944247430643,0.4519001950709038
composed_00484,0.7700248036242552,0.3969833239279212,0.6455069790542355,0.22462353110313416,0.05875764973461628,0.040567764453589915,0.18131908564951726,0.4065381520016643,0.5550319468457092
composed_00487,1.086310533637987,0.5515629314113312,0.5970104160672153,0.09296158850193023,0.022018249705433847,0.012782135233283042,0.1478865080532371,0.29951367472004825,0.3869147900316151
composed_00488,0.22441143761233695,0.16476003767287786,0.4511716239049386,0.21603409498929976,0.04335126802325249,0.02211456038057804,0.2399641091300712,0.4957851434478836,0.6434418317530374
composed_00490,0.8828732426171614,0.44972102150638865,0.7244609413062035,0.20467903316020966,0.046639221161603926,0.02726399265229702,0.16738131555717725,0.3604857944893871,0.5002266737150927
composed_00491,1.5005573682107844,0.8076373490584428,5.6503045529571585,0.4192426085472107,0.1779528697952628,0.16522410567849874,0.06434500274085515,0.20648186090142814,0.33026184757627647
composed_00492,0.8167831498034193,0.34046371727062286,0.6951872165558675,0.208675380051136,0.04560496937483549,0.02489516418427229,0.23355083025808923,0.4494414840502555,0.6176171189761206
composed_00493,0.92315600800548,0.38933755392492597,0.47757814328777465,0.0823018379509449,0.020986216142773628,0.013273308053612709,0.2082292172771245,0.3615636288122285,0.47790650114398253
composed_00494,1.8150445850247667,0.7607624627567182,2.806962839777474,1.7685251414775849,0.6336448460817337,0.4844110682606697,0.11213852515581506,0.3406582929583703,0.4774203173104075
composed_00496,0.8919797534899365,0.5540010673834336,0.7746437638882889,0.07003141269087791,0.018170592933893205,0.011260726675391197,0.17750899787850796,0.33446045709848204,0.42925420672846065
composed_00497,1.897345383202279,0.6955443245281414,1.0259999136010467,0.6625740543007851,0.2728968903422356,0.249977558106184,0.1257677516479142,0.30056303108146465,0.4220477042387544
composed_00498,0.5502569276981902,0.41036078692490185,0.7665779704626348,0.16235270202159882,0.03151434324681759,0.014849996007978917,0.2011391963611661,0.382967602954864,0.5223724504035369
composed_00975,1.8076539383645551,0.5565713685298137,1.0421421139812432,0.16482967138290405,0.05665847845375538,0.048386375140398744,0.1892827740258023,0.3871567903839374,0.514347814070093
composed_00976,1.1797586552148664,0.5893234931312186,1.3322254151486013,0.457836839556694,0.14189287275075912,0.11164856813848019,0.11321833548704414,0.3327005551962308,0.4964495473850671
composed_00977,0.8475875950653536,0.4594488608657232,0.7321014529115979,0.5964375048875808,0.18303206264972688,0.14114304333925248,0.15157432119955042,0.40127540999652245,0.5571575230156108
composed_00978,0.40143838688053657,0.2569525892708423,0.45401043314923895,0.09956217296421528,0.025580016849562525,0.01620789570733905,0.24151148877020664,0.4175787744731839,0.538590724076246
composed_00982,0.7682998550031344,0.3748629355322433,0.6553926876143857,0.2719890117645264,0.07097537145018577,0.0481270469725132,0.23062960961671988,0.4961830622761392,0.6366152476659989
composed_00983,2.222648966676549,0.5362874213046069,1.2950596388855449,0.6121679052710534,0.2546371714212,0.23165640160441398,0.23658012474201545,0.44151087500130065,0.5300543788374579
composed_00986,1.7072511375637875,0.5716244966879145,0.7565209631755204,0.3195682764053345,0.10260163173079491,0.08080053925514222,0.18926921877208866,0.3988009739104193,0.5165179906201707
composed_00988,2.424794302628795,0.8217635966067014,2.2566759052044296,0.18573950342833995,0.062494089175015685,0.04599907742813229,0.10599204221444025,0.21641518310324076,0.2879411559850329
composed_00989,1.2029052945662781,0.6680216618093576,3.4696265139089464,1.4796778813004494,0.6739860292524099,0.6500268628820777,0.13393066267629852,0.32442584729319546,0.459030508894014
composed_00991,1.0393508958923703,0.5884960757284226,0.7617200382211925,0.574749431014061,0.21254267320036888,0.1753891885280609,0.12296596249116887,0.31012873860640855,0.4327701584807347
composed_00994,1.107030440012249,0.6131638293326727,1.125686158011068,0.21835628002882004,0.06919809877872467,0.05628837067633867,0.11139687629932918,0.28286942824736244,0.4259947652406703
composed_00995,1.3926521665949996,0.6028800907960994,2.0802110219572105,1.006111253798008,0.35871842578053476,0.2878707334399223,0.10286560173522796,0.2942093650143458,0.3849933519501575
composed_00996,0.4046931810711055,0.26662537626314536,0.4731352470145246,0.1718600235879421,0.03662327136844397,0.018509028665721416,0.21769404608268134,0.41756020491951834,0.5293681656825373
